ProductID,ProductName,Category,Brand,Cost_Price
PROD-7434,Columbia Men's Watertight II Jacket,Clothing & Fashion,Columbia,25.26
PROD-8652,Garmin Forerunner 245,Sports & Fitness,Garmin,241.08
PROD-5515,N3rf Elit3 2.0 Comm4nd3r RD-6,Toys & Games,Nerf,10.07
PROD-9208,Bose QuietComfort 45,Electronics,Bose,292.15
PROD-4747,Theragun Pro G4,Sports & Fitness,Therabody,446.58
PROD-6619,Dune,Books & Media,Frank Herbert,7.66
PROD-7474,Quest Nutrition High Protein Bars,Health & Personal Care,Quest,20.0
PROD-7061,Black+Decker 20V Max Pivot Vac,Tools & Home Improvement,Black+Decker,54.25
PROD-5810,Ticket to Ride Board Game,Toys & Games,Days of Wonder,34.71
PROD-5100,Gorill4 Glu3 2-P4ck,Tools & Home Improvement,Gorilla,5.89
PROD-7127,Atomic Habits,Books & Media,James Clear,11.61
PROD-9348,Hasbro Connect 4,Toys & Games,Hasbro,8.17
PROD-3206,Hanes Men's ComfortSoft T-Shirt 6-Pack,Clothing & Fashion,Hanes,13.56
PROD-8921,Gorilla Glue 2-Pack,Tools & Home Improvement,Gorilla,5.24
PROD-1171,Lavazza Super Crema Whole Bean Coffee,Grocery & Gourmet Food,Lavazza,22.91
PROD-2153,Atomic Habits,Books & Media,james clear,11.75
PROD-5966,Theragun Pro G4,Sports & Fitness,Therabody,447.39
PROD-4601,Hanes Men's ComfortSoft T-Shirt 6-Pack,Clothing & Fashion,Hanes,13.2
PROD-1570,Bowflex SelectTech 552 Dumbbells,Sports & Fitness,Bowflex,316.01
PROD-1039,Lavazza Super Crema Whole Bean Coffee,Grocery & Gourmet Food,Lavazza,23.35
PROD-8754,LEGO Star Wars Millennium Falcon,Toys & Games,LEGO,135.73
PROD-5866,Bowflex SelectTech 552 Dumbbells,Sports & Fitness,Bowflex,309.91
PROD-3415,Barbie Dreamhouse,Toys & Games,Mattel,147.84
PROD-5672,BIC Round Stic Xtra Life Ball Pen,Office Products,BIC,4.77
PROD-1116,Ninja Professional Blender,Home & Kitchen,Ninja,70.51
PROD-8419,Gaiam Yoga Mat,Sports & Fitness,Gaiam,24.04
PROD-7592,Rocketbook Smart Reusable Notebook,Office Products,Rocketbook,24.98
PROD-7861,Catan Board Game,Toys & Games,Catan Studio,37.14
PROD-6535,Blue Yeti USB Microphone,Office Products,Blue,109.34
PROD-2767,Iron Gym Total Upper Body Workout Bar,Sports & Fitness,Iron Gym,23.93
PROD-4627,Theragun Pro G4,Sports & Fitness,Therabody,475.72
PROD-3317,Tostitos Scoops Tortilla Chips,Grocery & Gourmet Food,Tostitos,4.93
PROD-3770,Where the Crawdads Sing,Books & Media,Delia Owens,9.39
PROD-8162,Lutron Caseta Smart Dimmer Switch,Tools & Home Improvement,Lutron,44.85
PROD-3820,Resistance Band Set,Sports & Fitness,FitBeast,20.23
PROD-1992,Manduka PRO Yoga Mat,Sports & Fitness,Manduka,96.35
PROD-7097,Steelcase Series 1 Chair,Office Products,Steelcase,341.97
PROD-7948,Tostitos Scoops Tortilla Chips,Grocery & Gourmet Food,Tostitos,4.6
PROD-9383,Pyrex Glass Measuring Cup Set,Home & Kitchen,Pyrex,17.5
PROD-2217,Kind Bars Dark Chocolate Nuts & Sea Salt,Grocery & Gourmet Food,KIND,17.6
PROD-3774,Lavazza Super Crema Whole Bean Coffee,Grocery & Gourmet Food,Lavazza,24.36
PROD-5232,DEWALT 20V Max Cordless Drill,Tools & Home Improvement,DEWALT,123.98
PROD-8925,The Psychology of Money,Books & Media,Morgan Housel,10.66
PROD-7859,GoPro HERO11 Black,Electronics,GoPro,404.84
PROD-9225,Vital Proteins Collagen Peptides,Health & Personal Care,Vital Proteins,21.9
PROD-8650,Vital Proteins Collagen Peptides,Health & Personal Care,Vital Proteins,20.05
PROD-4465,Blue Yeti USB Microphone,Office Products,Blue,104.58
PROD-9154,Ninja Professional Blender,Home & Kitchen,Ninja,69.83
PROD-6895,The Psychology of Money,Books & Media,Morgan Housel,11.24
PROD-8941,Calvin Klein Cotton Classics Boxer Briefs,Clothing & Fashion,Calvin Klein,16.6
PROD-3907,Ray-Ban Classic Wayfarer Sunglasses,Clothing & Fashion,Ray-Ban,94.26
PROD-6324,Mattel Games UNO,Toys & Games,Mattel,4.52
PROD-8676,Blue Yeti USB Microphone,Office Products,Blue,96.38
PROD-6718,TRX All-in-One Suspension Trainer,Sports & Fitness,TRX,158.58
PROD-2328,Exploding Kittens Card Game,Toys & Games,Exploding Kittens,15.13
PROD-7161,Anker 737 Power Bank,Electronics,Anker,128.72
PROD-5765,Under Armour Tech 2.0 Short Sleeve,Clothing & Fashion,Under Armour,8.61
PROD-2271,Quaker Oats Old Fashioned 2-Pack,Grocery & Gourmet Food,Quaker,11.23
PROD-9068,Keurig K-Classic Coffee Maker,Home & Kitchen,Keurig,99.9
PROD-6621,Peloton Bike+,Sports & Fitness,Peloton,1987.98
PROD-8088,Squishmallows 12-inch Plush,Toys & Games,Kellytoy,16.54
PROD-2845,Ring Video Doorbell,Electronics,Amazon,159.83
PROD-7508,Where the Crawdads Sing,Books & Media,Delia Owens,9.16
PROD-3402,Philips Sonicare ProtectiveClean 5100,Health & Personal Care,Philips,79.92
PROD-9740,Ticket to Ride Board Game,Toys & Games,Days of Wonder,35.72
PROD-4040,Ticket to Ride Board Game,Toys & Games,Days of Wonder,34.21
PROD-4771,Ticket to Ride Board Game,Toys & Games,Days of Wonder,34.94
PROD-6180,Dune,Books & Media,Frank Herbert,6.82
PROD-1291,Where the Crawdads Sing,Books & Media,Delia Owens,9.12
PROD-9262,Gaiam Yoga Mat,Sports & Fitness,Gaiam,21.53
PROD-2658,Aveeno Daily Moisturizing Lotion,Health & Personal Care,Aveeno,9.45
PROD-7234,Mattel Games UNO,Toys & Games,Mattel,4.96
PROD-7646,Tostitos Scoops Tortilla Chips,Grocery & Gourmet Food,Tostitos,4.86
PROD-5800,KitchenAid Artisan Series Mixer,Home & Kitchen,KitchenAid,312.16
PROD-5863,August Wi-Fi Smart Lock,Tools & Home Improvement,August,164.66
PROD-3970,Bowflex SelectTech 552 Dumbbells,Sports & Fitness,Bowflex,312.26
PROD-2978,Anker 737 Power Bank,Electronics,Anker,129.36
PROD-1532,iPhone 15 Pro,Electronics,Apple,851.51
PROD-4992,Mattel Games UNO,Toys & Games,Mattel,4.57
PROD-6522,Lavazza Super Crema Whole Bean Coffee,Grocery & Gourmet Food,Lavazza,23.07
PROD-9959,Calvin Klein Cotton Classics Boxer Briefs,Clothing & Fashion,Calvin Klein,21.43
PROD-3288,Pyrex Glass Measuring Cup Set,Home & Kitchen,Pyrex,19.21
PROD-2210,Dune,Books & Media,Frank Herbert,8.86
PROD-5869,Quaker Oats Old Fashioned 2-Pack,Grocery & Gourmet Food,Quaker,11.72
PROD-9776,Catan Board Game,Toys & Games,Catan Studio,32.07
PROD-6363,Ninja Professional Blender,Home & Kitchen,NINJA,75.11
PROD-6415,Herman Miller Aeron Chair,Office Products,Herman Miller,1006.89
PROD-6928,Cards Against Humanity,Toys & Games,Cards Against Humanity,24.99
PROD-6368,Columbia Men's Watertight II Jacket,Clothing & Fashion,Columbia,48.92
PROD-3868,TRX All-in-One Suspension Trainer,Sports & Fitness,TRX,140.41
PROD-5888,Peloton Bike+,Sports & Fitness,Peloton,2176.96
PROD-9241,GoPro HERO11 Black,Electronics,GoPro,440.25
PROD-2930,Blue Diamond Almonds,Grocery & Gourmet Food,Blue Diamond,12.71
PROD-5719,Garmin Forerunner 245,Sports & Fitness,Garmin,234.09
PROD-9918,TRX All-in-One Suspension Trainer,Sports & Fitness,trx,139.35
PROD-9374,iRobot Roomba j7+,Home & Kitchen,iRobot,604.12
PROD-3092,Under Armour Tech 2.0 Short Sleeve,Clothing & Fashion,Under Armour,14.03
PROD-3258,Gaiam Yoga Mat,Sports & Fitness,Gaiam,23.81
PROD-5037,Epson EcoTank ET-2800,Office Products,Epson,195.55
PROD-7815,Vicks DayQuil/NyQuil Combo Pack,Health & Personal Care,Vicks,13.07
PROD-2563,KitchenAid Artisan Series Mixer,Home & Kitchen,KitchenAid,347.02
PROD-3160,Iron Gym Total Upper Body Workout Bar,Sports & Fitness,Iron Gym,21.6
PROD-4522,Gorilla Glue 2-Pack,Tools & Home Improvement,Gorilla,5.37
PROD-9142,Columbia Men's Watertight II Jacket,Clothing & Fashion,Columbia,33.04
PROD-1949,Garmin Forerunner 245,Sports & Fitness,Garmin,257.13
PROD-7103,Iron Gym Total Upper Body Workout Bar,Sports & Fitness,Iron Gym,23.96
PROD-9275,Barbie Dreamhouse,Toys & Games,Mattel,171.13
PROD-5602,Keurig K-Classic Coffee Maker,Home & Kitchen,Keurig,109.56
PROD-5771,Adidas Essentials Track Jacket,Clothing & Fashion,Adidas,19.1
PROD-6422,Milwaukee M18 Fuel Impact Driver,Tools & Home Improvement,Milwaukee,146.39
PROD-1214,Steelcase Series 1 Chair,Office Products,STEELCASE,355.28
PROD-4262,Barbie Dreamhouse,Toys & Games,Mattel,139.42
PROD-9870,iRobot Roomba j7+,Home & Kitchen,iRobot,621.91
PROD-2055,Resistance Band Set,Sports & Fitness,FitBeast,20.86
PROD-2863,Gorilla Glue 2-Pack,Tools & Home Improvement,Gorilla,5.45
PROD-2589,Blue Yeti USB Microphone,Office Products,Blue,91.6
PROD-4063,Pyrex Glass Measuring Cup Set,Home & Kitchen,Pyrex,19.66
PROD-4612,Blue Diamond Almonds,Grocery & Gourmet Food,Blue Diamond,13.04
PROD-7178,Braun Series 7 Electric Razor,Health & Personal Care,Braun,102.66
PROD-4573,Iron Gym Total Upper Body Workout Bar,Sports & Fitness,Iron Gym,21.46
PROD-4675,Dell XPS 13 Laptop,Electronics,Dell,1049.47
PROD-5570,Lavazza Super Crema Whole Bean Coffee,Grocery & Gourmet Food,Lavazza,23.01
PROD-4886,Steelcase Series 1 Chair,Office Products,Steelcase,345.02
PROD-8526,Waterpik Aquarius Water Flosser,Health & Personal Care,Waterpik,51.5
PROD-2180,Braun Series 7 Electric Razor,Health & Personal Care,Braun,125.47
PROD-4547,Iron Gym Total Upper Body Workout Bar,Sports & Fitness,Iron Gym,23.11
PROD-5633,Iron Gym Total Upper Body Workout Bar,Sports & Fitness,Iron Gym,21.31
PROD-2453,Peloton Bike+,Sports & Fitness,Peloton,1822.96
PROD-8429,Keurig K-Classic Coffee Maker,Home & Kitchen,Keurig,114.83
PROD-1900,Post-it Super Sticky Notes,Office Products,3M,11.73
PROD-4102,Peloton Bike+,Sports & Fitness,Peloton,2060.69
PROD-6037,BIC Round Stic Xtra Life Ball Pen,Office Products,BIC,4.58
PROD-4909,Epson EcoTank ET-2800,Office Products,Epson,187.62
PROD-3448,Squishmallows 12-inch Plush,Toys & Games,Kellytoy,16.45
PROD-1025,Resistance Band Set,Sports & Fitness,FitBeast,18.85
PROD-9467,The Psychology of Money,Books & Media,Morgan Housel,11.88
PROD-6564,Epson EcoTank ET-2800,Office Products,Epson,198.25
PROD-5521,Resistance Band Set,Sports & Fitness,FitBeast,19.79
PROD-4374,Kind Bars Dark Chocolate Nuts & Sea Salt,Grocery & Gourmet Food,KIND,18.33
PROD-3272,Bowflex SelectTech 552 Dumbbells,Sports & Fitness,Bowflex,333.26
PROD-4949,Resistance Band Set,Sports & Fitness,FitBeast,20.27
PROD-9042,Tostitos Scoops Tortilla Chips,Grocery & Gourmet Food,Tostitos,4.57
PROD-7698,Blue Yeti USB Microphone,Office Products,Blue,91.67
PROD-8758,Blue Yeti USB Microphone,Office Products,Blue,111.04
PROD-1442,Oral-B Pro 1000 Electric Toothbrush,Health & Personal Care,Oral-B,36.03
PROD-5029,Gaiam Yoga Mat,Sports & Fitness,Gaiam,22.1
PROD-7110,Laptop Stand Adjustable,Office Products,Nulaxy,22.83
PROD-3493,Bowflex SelectTech 552 Dumbbells,Sports & Fitness,Bowflex,326.28
PROD-8171,Post-it Super Sticky Notes,Office Products,3M,11.04
PROD-5910,Manduka PRO Yoga Mat,Sports & Fitness,Manduka,100.49
PROD-3400,Logitech MX Master 3S Mouse,Electronics,Logitech,82.84
PROD-2335,Atomic Habits,Books & Media,James Clear,12.84
PROD-6733,Blue Yeti USB Microphone,Office Products,Blue,98.63
PROD-1830,BIC Round Stic Xtra Life Ball Pen,Office Products,BIC,4.51
PROD-3924,Lindt Excellence Dark Chocolate Bar,Grocery & Gourmet Food,Lindt,3.88
PROD-3172,iRobot Roomba j7+,Home & Kitchen,iRobot,633.52
PROD-4180,Catan Board Game,Toys & Games,Catan Studio,42.6
PROD-6843,Samsung 980 Pro SSD 1TB,Electronics,Samsung,114.58
PROD-7155,iPad Air,Electronics,Apple,552.08
PROD-3535,Theragun Pro G4,Sports & Fitness,Therabody,490.29
PROD-7512,Levi's Men's 501 Original Fit Jeans,Clothing & Fashion,Levi's,28.3
PROD-5253,Calvin Klein Cotton Classics Boxer Briefs,Clothing & Fashion,Calvin Klein,18.94
PROD-8438,Under Armour Tech 2.0 Short Sleeve,Clothing & Fashion,Under Armour,14.01
PROD-3459,Quaker Oats Old Fashioned 2-Pack,Grocery & Gourmet Food,Quaker,11.45
PROD-5451,Instant Pot Duo 7-in-1,Home & Kitchen,Instant Pot,75.59
PROD-1332,Blue Yeti USB Microphone,Office Products,Blue,103.47
PROD-4085,Gorilla Glue 2-Pack,Tools & Home Improvement,Gorilla,5.56
PROD-5278,August Wi-Fi Smart Lock,Tools & Home Improvement,August,160.8
PROD-1851,Philips Sonicare ProtectiveClean 5100,Health & Personal Care,Philips,79.42
PROD-6028,Oral-B Pro 1000 Electric Toothbrush,Health & Personal Care,Oral-B,38.03
PROD-6989,LEGO Star Wars Millennium Falcon,Toys & Games,LEGO,129.67
PROD-1268,Hydro Flask 32 oz Wide Mouth,Sports & Fitness,Hydro Flask,32.39
PROD-7569,Atomic Habits,Books & Media,James Clear,12.31
PROD-6457,Mattel Games UNO,Toys & Games,Mattel,4.76
PROD-7904,CeraVe Hydrating Facial Cleanser,Health & Personal Care,CeraVe,11.52
PROD-8008,Lavazza Super Crema Whole Bean Coffee,Grocery & Gourmet Food,Lavazza,24.12
PROD-5367,Vital Proteins Collagen Peptides,Health & Personal Care,Vital Proteins,18.79
PROD-9407,Resistance Band Set,Sports & Fitness,FitBeast,19.73
PROD-6654,Ticket to Ride Board Game,Toys & Games,Days of Wonder,34.34
PROD-1824,Vicks DayQuil/NyQuil Combo Pack,Health & Personal Care,Vicks,14.46
PROD-2712,Ninja Professional Blender,Home & Kitchen,Ninja,75.69
PROD-2171,Keurig K-Classic Coffee Maker,Home & Kitchen,Keurig,110.94
PROD-6614,Gorilla Glue 2-Pack,Tools & Home Improvement,Gorilla,5.83
PROD-9586,Wyze Cam v3,Electronics,Wyze,29.36
PROD-2063,Nerf Elite 2.0 Commander RD-6,Toys & Games,Nerf,10.39
PROD-4725,Mattel Games UNO,Toys & Games,Mattel,4.42
PROD-5464,Brita Water Filter Pitcher,Home & Kitchen,Brita,14.46
PROD-4640,Bowflex SelectTech 552 Dumbbells,Sports & Fitness,Bowflex,310.57
PROD-3041,Crocs Cl4ssic Clogs,Clothing & Fashion,Crocs,18.79
PROD-1399,Oral-B Pro 1000 Electric Toothbrush,Health & Personal Care,Oral-B,35.57
PROD-4027,Blue Yeti USB Microphone,Office Products,Blue,97.44
PROD-4730,Kindl3 P4p3rwhit3,Electronics,Amazon,112.38
PROD-7890,Barbie Dreamhouse,Toys & Games,Mattel,154.77
PROD-7283,Catan Board Game,Toys & Games,Catan Studio,38.89
PROD-7286,Anker 737 Power Bank,Electronics,Anker,136.43
PROD-6736,The Seven Husbands of Evelyn Hugo,Books & Media,Taylor Jenkins Reid,11.72
PROD-9519,Hanes Men's ComfortSoft T-Shirt 6-Pack,Clothing & Fashion,Hanes,11.31
PROD-8733,Cuisinart 14-Cup Food Processor,Home & Kitchen,Cuisinart,192.29
PROD-3809,GoPro HERO11 Black,Electronics,GoPro,421.64
PROD-5114,TRX All-in-One Suspension Trainer,Sports & Fitness,TRX,151.23
PROD-6316,iRobot Roomba j7+,Home & Kitchen,iRobot,539.77
PROD-8249,Instant Pot Duo 7-in-1,Home & Kitchen,Instant Pot,80.57
PROD-3283,Gorilla Glue 2-Pack,Tools & Home Improvement,Gorilla,5.73
PROD-3182,Vital Proteins Collagen Peptides,Health & Personal Care,Vital Proteins,21.59
PROD-3056,Huy Fong Sriracha Hot Chili Sauce,Grocery & Gourmet Food,Huy Fong,7.61
PROD-7041,HP OfficeJet Pro 8025e,Office Products,HP,155.06
PROD-2425,Cuisinart 14-Cup Food Processor,Home & Kitchen,Cuisinart,177.76
PROD-9343,Neutrogena Hydro Boost Water Gel,Health & Personal Care,Neutrogena,16.02
PROD-5410,Where the Crawdads Sing,Books & Media,Delia Owens,8.8
PROD-6906,Blue Yeti USB Microphone,Office Products,Blue,101.2
PROD-5584,Post-it Super Sticky Notes,Office Products,3M,12.59
PROD-3639,Clif Bar Energy Bars 12-Pack,Grocery & Gourmet Food,Clif Bar,14.38
PROD-3241,Nerf Elite 2.0 Commander RD-6,Toys & Games,Nerf,10.75
PROD-5823,LEGO Star Wars Millennium Falcon,Toys & Games,LEGO,128.32
PROD-2738,Philips Sonicare ProtectiveClean 5100,Health & Personal Care,Philips,83.52
PROD-8501,Post-it Super Sticky Notes,Office Products,3M,12.27
PROD-1069,BIC Round Stic Xtra Life Ball Pen,Office Products,BIC,4.56
PROD-2908,Ninja Professional Blender,Home & Kitchen,Ninja,74.42
PROD-6357,iRobot Roomba j7+,Home & Kitchen,iRobot,538.78
PROD-4519,TRX All-in-One Suspension Trainer,Sports & Fitness,TRX,150.48
PROD-7992,Lodge Cast Iron Skillet,Home & Kitchen,Lodge,18.15
PROD-6658,Fitbit Charge 5,Electronics,Fitbit,119.08
PROD-3005,Neutrogena Hydro Boost Water Gel,Health & Personal Care,Neutrogena,13.8
PROD-5631,Clif Bar Energy Bars 12-Pack,Grocery & Gourmet Food,Clif Bar,14.15
PROD-8951,Hydro Flask 32 oz Wide Mouth,Sports & Fitness,Hydro Flask,37.36
PROD-4594,Samsung Galaxy S23,Electronics,Samsung,721.51
PROD-4682,Black+Decker 20V Max Pivot Vac,Tools & Home Improvement,Black+Decker,50.05
PROD-3443,Manduka PRO Yoga Mat,Sports & Fitness,Manduka,97.23
PROD-6078,Huy Fong Sriracha Hot Chili Sauce,Grocery & Gourmet Food,Huy Fong,7.57
PROD-3127,Blue Yeti USB Microphone,Office Products,Blue,107.94
PROD-6501,iRobot Roomba j7+,Home & Kitchen,iRobot,589.19
PROD-9749,Blue Yeti USB Microphone,Office Products,Blue,100.57
PROD-5463,Cuisinart 14-Cup Food Processor,Home & Kitchen,Cuisinart,200.76
PROD-5792,Fitbit Charge 5,Electronics,Fitbit,134.69
PROD-8178,Brita Water Filter Pitcher,Home & Kitchen,Brita,14.04
PROD-4711,The Seven Husbands of Evelyn Hugo,Books & Media,Taylor Jenkins Reid,11.97
PROD-4225,Adidas Essentials Track Jacket,Clothing & Fashion,Adidas,28.92
PROD-2901,Gorilla Glue 2-Pack,Tools & Home Improvement,Gorilla,5.35
PROD-6604,Herman Miller Aeron Chair,Office Products,Herman Miller,1089.05
PROD-4302,Lindt Excellence Dark Chocolate Bar,Grocery & Gourmet Food,Lindt,3.66
PROD-3759,Atomic Habits,Books & Media,James Clear,11.49
PROD-9737,August Wi-Fi Smart Lock,Tools & Home Improvement,August,160.02
PROD-5031,Lutron Caseta Smart Dimmer Switch,Tools & Home Improvement,Lutron,48.48
PROD-1854,Peloton Bike+,Sports & Fitness,Peloton,1936.53
PROD-8189,Becoming,Books & Media,Michelle Obama,14.41
PROD-7601,Hydro Flask 32 oz Wide Mouth,Sports & Fitness,Hydro Flask,31.32
PROD-1802,Dune,Books & Media,Frank Herbert,7.58
PROD-2162,Post-it Super Sticky Notes,Office Products,3M,11.25
PROD-7201,Gorilla Glue 2-Pack,Tools & Home Improvement,Gorilla,5.87
PROD-7326,Manduka PRO Yoga Mat,Sports & Fitness,Manduka,97.08
PROD-8688,The Psychology of Money,Books & Media,Morgan Housel,10.27
PROD-6537,Cuisin4rt 14-Cup Food Proc3ssor,Home & Kitchen,Cuisinart,183.97
PROD-9510,Hydro Flask 32 oz Wide Mouth,Sports & Fitness,Hydro Flask,36.33
PROD-4309,Waterpik Aquarius Water Flosser,Health & Personal Care,Waterpik,53.38
PROD-1141,Resistance Band Set,Sports & Fitness,FitBeast,18.1
PROD-7058,Post-it Super Sticky Notes,Office Products,3M,11.79
PROD-7915,Neutrogena Hydro Boost Water Gel,Health & Personal Care,Neutrogena,16.32
PROD-8228,August Wi-Fi Smart Lock,Tools & Home Improvement,August,187.05
PROD-5611,Peloton Bike+,Sports & Fitness,Peloton,1816.34
PROD-4498,Manduka PRO Yoga Mat,Sports & Fitness,Manduka,93.56
PROD-6840,Exploding Kittens Card Game,Toys & Games,Exploding Kittens,15.05
PROD-3441,iPhone 15 Pro,Electronics,Apple,803.7
PROD-8240,Project Hail Mary,Books & Media,ANDY WEIR,12.53
PROD-5017,Gaiam Yoga Mat,Sports & Fitness,Gaiam,21.22
PROD-8966,Bose QuietComfort 45,Electronics,Bose,286.99
PROD-9244,Lutron Caseta Smart Dimmer Switch,Tools & Home Improvement,Lutron,43.31
PROD-7379,Squishmallows 12-inch Plush,Toys & Games,Kellytoy,15.13
PROD-9657,DEWALT 20V Max Cordless Drill,Tools & Home Improvement,DEWALT,120.96
PROD-7144,Hydro Flask 32 oz Wide Mouth,Sports & Fitness,Hydro Flask,33.33
PROD-8460,Nike Air Force 1,Clothing & Fashion,Nike,72.78
PROD-6933,Hydro Flask 32 oz Wide Mouth,Sports & Fitness,Hydro Flask,34.46
PROD-1131,Fitbit Charge 5,Electronics,Fitbit,129.1
PROD-9850,Braun Series 7 Electric Razor,Health & Personal Care,Braun,112.21
PROD-4043,Iron Gym Total Upper Body Workout Bar,Sports & Fitness,Iron Gym,24.34
PROD-1816,Epson EcoTank ET-2800,Office Products,Epson,175.79
PROD-7932,Nest Learning Thermostat,Tools & Home Improvement,Google,187.18
PROD-9684,Clif Bar Energy Bars 12-Pack,Grocery & Gourmet Food,Clif Bar,13.69
PROD-7983,Iron Gym Total Upper Body Workout Bar,Sports & Fitness,Iron Gym,25.16
PROD-1454,Garmin Forerunner 245,Sports & Fitness,Garmin,223.81
PROD-9916,Bowflex SelectTech 552 Dumbbells,Sports & Fitness,Bowflex,329.37
PROD-9547,Philips Hue White & Color Ambiance,Tools & Home Improvement,Philips,64.08
PROD-1379,Lutron Caseta Smart Dimmer Switch,Tools & Home Improvement,Lutron,44.52
PROD-2703,Blue Yeti USB Microphone,Office Products,Blue,99.66
PROD-7051,Cuisinart 14-Cup Food Processor,Home & Kitchen,Cuisinart,179.07
PROD-5005,Hydro Flask 32 oz Wide Mouth,Sports & Fitness,Hydro Flask,29.88
PROD-2900,Brita Water Filter Pitcher,Home & Kitchen,Brita,12.71
PROD-7525,Vital Proteins Collagen Peptides,Health & Personal Care,Vital Proteins,21.72
PROD-5729,Lindt Excellence Dark Chocolate Bar,Grocery & Gourmet Food,Lindt,3.77
PROD-2721,Bowflex SelectTech 552 Dumbbells,Sports & Fitness,Bowflex,326.94
PROD-2700,The Psychology of Money,Books & Media,Morgan Housel,10.97
PROD-3063,Becoming,Books & Media,Michelle Obama,15.7
PROD-7241,Post-it Super Sticky Notes,Office Products,3M,11.46
PROD-7862,Iron Gym Total Upper Body Workout Bar,Sports & Fitness,Iron Gym,22.42
PROD-4106,Mattel Games UNO,Toys & Games,Mattel,4.5
PROD-5355,Philips Sonicare ProtectiveClean 5100,Health & Personal Care,Philips,69.89
PROD-7489,Lavazza Super Crema Whole Bean Coffee,Grocery & Gourmet Food,Lavazza,23.04
PROD-8584,Waterpik Aquarius Water Flosser,Health & Personal Care,Waterpik,52.8
PROD-1966,Philips Hue White & Color Ambiance,Tools & Home Improvement,Philips,70.91
PROD-4361,LEGO Star Wars Millennium Falcon,Toys & Games,LEGO,127.08
PROD-6650,Gorilla Glue 2-Pack,Tools & Home Improvement,Gorilla,5.93
PROD-1776,Shark NV352 Navigator Lift-Away,Home & Kitchen,Shark,152.28
PROD-4171,Squishmallows 12-inch Plush,Toys & Games,Kellytoy,16.6
PROD-8571,Atomic Habits,Books & Media,James Clear,11.13
PROD-6926,Manduka PRO Yoga Mat,Sports & Fitness,Manduka,99.93
PROD-1433,Dune,Books & Media,Frank Herbert,8.05
PROD-5959,Nerf Elite 2.0 Commander RD-6,Toys & Games,Nerf,9.5
PROD-1572,Resistance Band Set,Sports & Fitness,FitBeast,20.25
PROD-9984,Quest Nutrition High Protein Bars,Health & Personal Care,Quest,20.16
PROD-6315,Braun Series 7 Electric Razor,Health & Personal Care,Braun,121.96
PROD-4322,Iron Gym Total Upper Body Workout Bar,Sports & Fitness,Iron Gym,22.7
