Date,Quantity,Avg_UnitPrice,Avg_Discount,Year,Month,Day,DayOfWeek,DayOfYear,WeekOfYear,Quarter,IsWeekend,IsMonthStart,IsMonthEnd,IsQuarterStart,IsQuarterEnd,IsYearStart,IsYearEnd,DayName,MonthName,DayOfWeek_Sin,DayOfWeek_Cos,Month_Sin,Month_Cos,DayOfYear_Sin,DayOfYear_Cos,WeekOfYear_Sin,WeekOfYear_Cos,Lag_1,Lag_2,Lag_3,Lag_7,Lag_14,Lag_21,Lag_28,Lag_30,Lag_365,Rolling_3_Mean,Rolling_7_Mean,Rolling_14_Mean,Rolling_30_Mean,Rolling_90_Mean,Rolling_7_Std,Rolling_14_Std,Rolling_30_Std,Rolling_7_Min,Rolling_7_Max,Rolling_30_Min,Rolling_30_Max,Expanding_Mean,Expanding_Std,Expanding_Min,Expanding_Max,Diff_1,Diff_7,Diff_30,Pct_Change_1,Pct_Change_7,Trend
2020-01-11,62,124.40970588235295,15.01735294117647,2020,1,11,5,11,2,1,1,0,0,0,0,0,0,Saturday,January,-0.9749279121818236,-0.2225209339563146,0.0,1.0,0.1882267098432442,0.9821256058680006,0.23931566428755774,0.970941817426052,65.0,56.0,67.0,39.0,,,,,,61.0,54.42857142857143,,,,11.530497862294625,,,35.0,67.0,,,55.81818181818182,15.374122295716148,35.0,90.0,-3.0,23.0,,-4.61538461538461,58.974358974358964,10
2020-01-12,67,206.14894736842106,53.11342105263159,2020,1,12,6,12,2,1,1,0,0,0,0,0,0,Sunday,January,-0.7818314824680299,0.6234898018587334,0.0,1.0,0.2051044998686192,0.9787400799669153,0.23931566428755774,0.970941817426052,62.0,65.0,56.0,35.0,,,,,,64.66666666666667,59.0,,,,8.485281374238566,,,46.0,67.0,,,56.75,15.009845253881018,35.0,90.0,5.0,32.0,,8.064516129032251,91.42857142857143,11
2020-01-13,53,148.6596551724138,14.798275862068966,2020,1,13,0,13,3,1,0,0,0,0,0,0,0,Monday,January,0.0,1.0,0.0,1.0,0.22192151300416552,0.9750645322571948,0.3546048870425356,0.9350162426854148,67.0,62.0,65.0,46.0,,,,,,60.666666666666664,60.0,,,,6.976149845485445,,,50.0,67.0,,,56.46153846153846,14.408419903048499,35.0,90.0,-14.0,7.0,,-20.895522388059707,15.217391304347828,12
2020-01-14,62,120.25842105263158,27.266578947368423,2020,1,14,1,14,3,1,0,0,0,0,0,0,0,Tuesday,January,0.7818314824680297,0.6234898018587336,0.0,1.0,0.2386727660059501,0.9711000518829505,0.3546048870425356,0.9350162426854148,53.0,67.0,62.0,50.0,,,,,,60.666666666666664,61.714285714285715,56.857142857142854,,,5.407226205560032,13.92207512636589,,53.0,67.0,,,56.857142857142854,13.92207512636589,35.0,90.0,9.0,12.0,,16.981132075471695,24.0,13
2020-01-15,52,148.2562962962963,9.925925925925926,2020,1,15,2,15,3,1,0,0,0,0,0,0,0,Wednesday,January,0.9749279121818236,-0.22252093395631434,0.0,1.0,0.255353295116187,0.9668478136052775,0.3546048870425356,0.9350162426854148,62.0,53.0,67.0,67.0,46.0,,,,,55.666666666666664,59.57142857142857,57.285714285714285,,,5.912053869204921,13.651872632486226,,52.0,67.0,,,56.53333333333333,13.474137484543526,35.0,90.0,-10.0,-15.0,,-16.129032258064512,-22.388059701492537,14
2020-01-16,67,96.53457142857143,8.84,2020,1,16,3,16,3,1,0,0,0,0,0,0,0,Thursday,January,0.43388373911755823,-0.900968867902419,0.0,1.0,0.2719581575341055,0.9623090774541486,0.3546048870425356,0.9350162426854148,52.0,62.0,53.0,56.0,58.0,,,,,60.333333333333336,61.142857142857146,57.92857142857143,,,6.256425268702332,13.897782256473572,,52.0,67.0,,,57.1875,13.277644118341678,35.0,90.0,15.0,11.0,,28.846153846153854,19.64285714285714,15
2020-01-17,64,278.3778947368421,45.43157894736842,2020,1,17,4,17,3,1,0,0,0,0,0,0,0,Friday,January,-0.433883739117558,-0.9009688679024191,0.0,1.0,0.288482432880609,0.9574851883550393,0.3546048870425356,0.9350162426854148,67.0,52.0,62.0,65.0,90.0,,,,,61.0,61.0,56.07142857142857,,,6.164414002968969,10.637121398590486,,52.0,67.0,,,57.588235294117645,12.961765039576072,35.0,90.0,-3.0,-1.0,,-4.477611940298509,-1.538461538461533,16
2020-01-18,70,167.28457142857144,99.83485714285713,2020,1,18,5,18,3,1,1,0,0,0,0,0,0,Saturday,January,-0.9749279121818236,-0.2225209339563146,0.0,1.0,0.30492122465628907,0.9523775757303974,0.3546048870425356,0.9350162426854148,64.0,67.0,52.0,62.0,39.0,,,,,67.0,62.142857142857146,58.285714285714285,,,7.057586259446193,10.018663901620137,,52.0,70.0,,,58.27777777777778,12.910577312264069,35.0,90.0,6.0,8.0,,9.375,12.903225806451623,17
2020-01-19,53,143.76038461538462,124.79846153846155,2020,1,19,6,19,3,1,1,0,0,0,0,0,0,Sunday,January,-0.7818314824680299,0.6234898018587334,0.0,1.0,0.3212696616923644,0.9469877530760753,0.3546048870425356,0.9350162426854148,70.0,64.0,67.0,67.0,35.0,,,,,62.333333333333336,60.142857142857146,59.57142857142857,,,7.425823667638294,7.683291419240007,,52.0,70.0,,,58.0,12.605113600792691,35.0,90.0,-17.0,-14.0,,-24.28571428571429,-20.895522388059707,18
2020-01-20,49,168.88821428571427,12.786785714285713,2020,1,20,0,20,4,1,0,0,0,0,0,0,0,Monday,January,0.0,1.0,0.0,1.0,0.3375228995941133,0.9413173175128471,0.4647231720437685,0.8854560256532099,53.0,70.0,64.0,53.0,46.0,,,,,57.333333333333336,59.57142857142857,59.785714285714285,,,8.182443458550805,7.308357401775587,,49.0,70.0,,,57.55,12.432872386921442,35.0,90.0,-4.0,-4.0,,-7.547169811320753,-7.547169811320753,19
2020-01-21,65,176.95333333333332,13.013333333333334,2020,1,21,1,21,4,1,0,0,0,0,0,0,0,Tuesday,January,0.7818314824680297,0.6234898018587336,0.0,1.0,0.3536761221763716,0.9353679493131483,0.4647231720437685,0.8854560256532099,49.0,53.0,70.0,62.0,50.0,,,,,55.666666666666664,60.0,60.857142857142854,,,8.406346808612321,6.848437697832917,,49.0,70.0,,,57.904761904761905,12.22662979690136,35.0,90.0,16.0,3.0,,32.65306122448979,4.8387096774193505,20
2020-01-22,75,195.84156249999998,21.0665625,2020,1,22,2,22,4,1,0,0,0,0,0,0,0,Wednesday,January,0.9749279121818236,-0.22252093395631434,0.0,1.0,0.3697245428906731,0.9291414114031743,0.4647231720437685,0.8854560256532099,65.0,49.0,53.0,52.0,67.0,46.0,,,,63.0,63.285714285714285,61.42857142857143,,,9.21437799879958,7.683291419240011,,49.0,75.0,,,58.68181818181818,12.476211129819989,35.0,90.0,10.0,23.0,,15.384615384615374,44.230769230769226,21
2020-01-23,85,264.6338095238095,67.90071428571429,2020,1,23,3,23,4,1,0,0,0,0,0,0,0,Thursday,January,0.43388373911755823,-0.900968867902419,0.0,1.0,0.38566340624360707,0.9226395488404876,0.4647231720437685,0.8854560256532099,75.0,65.0,49.0,67.0,56.0,58.0,,,,75.0,65.85714285714286,63.5,,,12.388550781919179,9.7408734405399,,49.0,85.0,,,59.82608695652174,13.367709309149157,35.0,90.0,10.0,18.0,,13.33333333333333,26.865671641791057,22
2020-01-24,54,182.38027027027027,22.10162162162162,2020,1,24,4,24,4,1,0,0,0,0,0,0,0,Friday,January,-0.433883739117558,-0.9009688679024191,0.0,1.0,0.401487989205973,0.9158642882672872,0.4647231720437685,0.8854560256532099,85.0,75.0,65.0,64.0,65.0,90.0,,,,71.33333333333333,64.42857142857143,62.714285714285715,,,13.189100839419675,10.049328882518036,,49.0,85.0,,,59.583333333333336,13.12785510699082,35.0,90.0,-31.0,-10.0,,-36.47058823529412,-15.625,23
2020-01-25,37,151.2995238095238,7.098571428571428,2020,1,25,5,25,4,1,1,0,0,0,0,0,0,Saturday,January,-0.9749279121818236,-0.2225209339563146,0.0,1.0,0.4171936026123168,0.9088176373395029,0.4647231720437685,0.8854560256532099,54.0,85.0,75.0,70.0,62.0,39.0,,,,58.666666666666664,59.714285714285715,60.92857142857143,,,16.377975920060912,12.18109686683104,,37.0,85.0,,,58.68,13.62204096308626,35.0,90.0,-17.0,-33.0,,-31.481481481481477,-47.14285714285714,24
2020-01-26,68,147.39818181818183,42.089090909090906,2020,1,26,6,26,4,1,1,0,0,0,0,0,0,Sunday,January,-0.7818314824680299,0.6234898018587334,0.0,1.0,0.4327755925504312,0.901501684131884,0.4647231720437685,0.8854560256532099,37.0,54.0,85.0,53.0,67.0,35.0,,,,53.0,61.857142857142854,61.0,,,16.33430512172231,12.222299922052947,,37.0,85.0,,,59.03846153846154,13.471394194308976,35.0,90.0,31.0,15.0,,83.78378378378379,28.301886792452823,25
2020-01-27,68,153.94813953488372,38.95558139534884,2020,1,27,0,27,5,1,0,0,0,0,0,0,0,Monday,January,0.0,1.0,0.0,1.0,0.4482293417404106,0.893918596519257,0.5680647467311558,0.8229838658936564,68.0,37.0,54.0,49.0,53.0,46.0,,,,57.666666666666664,64.57142857142857,62.07142857142857,,,15.393257645877975,12.124129061277172,,37.0,85.0,,,59.370370370370374,13.321896804619621,35.0,90.0,0.0,19.0,,0.0,38.775510204081634,26
2020-01-28,72,213.48973684210526,36.18815789473684,2020,1,28,1,28,5,1,0,0,0,0,0,0,0,Tuesday,January,0.7818314824680297,0.6234898018587336,0.0,1.0,0.4635502709028509,0.886070621534138,0.5680647467311558,0.8229838658936564,68.0,68.0,37.0,65.0,62.0,50.0,,,,69.33333333333333,65.57142857142857,62.785714285714285,,,15.650954633899516,12.410780496305328,,37.0,85.0,,,59.82142857142857,13.288963874078403,35.0,90.0,4.0,7.0,,5.882352941176472,10.769230769230775,27
2020-01-29,68,260.4569696969697,54.68090909090909,2020,1,29,2,29,5,1,0,0,0,0,0,0,0,Wednesday,January,0.9749279121818236,-0.22252093395631434,0.0,1.0,0.47873384011578846,0.8779600847008882,0.5680647467311558,0.8229838658936564,72.0,68.0,68.0,75.0,52.0,67.0,46.0,,,69.33333333333333,64.57142857142857,63.92857142857143,,,15.164180853326062,12.073265352162876,,37.0,85.0,,,60.10344827586207,13.137581935550411,35.0,90.0,-4.0,-7.0,,-5.555555555555558,-9.333333333333337,28
2020-01-30,58,201.022,9.343333333333334,2020,1,30,3,30,5,1,0,0,0,0,0,0,0,Thursday,January,0.43388373911755823,-0.900968867902419,0.0,1.0,0.4937755501599772,0.869589389346611,0.5680647467311558,0.8229838658936564,68.0,72.0,68.0,85.0,67.0,56.0,58.0,,,66.0,60.714285714285715,63.285714285714285,60.03333333333333,,12.257165057144945,12.136585322762889,12.914795934237155,37.0,72.0,35.0,90.0,60.03333333333333,12.914795934237155,35.0,90.0,-10.0,-27.0,,-14.70588235294118,-31.76470588235294,29
2020-01-31,65,196.21315789473684,21.440263157894737,2020,1,31,4,31,5,1,0,0,1,0,0,0,0,Friday,January,-0.433883739117558,-0.9009688679024191,0.0,1.0,0.5086709438521044,0.8609610158889943,0.5680647467311558,0.8229838658936564,58.0,68.0,72.0,54.0,64.0,65.0,90.0,46.0,,63.666666666666664,62.285714285714285,63.357142857142854,60.666666666666664,,11.95427797504984,12.144052946937535,12.666364182716183,37.0,72.0,35.0,90.0,60.193548387096776,12.729020268239315,35.0,90.0,7.0,11.0,19.0,12.06896551724137,20.370370370370374,30
2020-02-01,36,120.22428571428571,12.105238095238096,2020,2,1,5,32,5,1,1,1,0,0,0,0,0,Saturday,February,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,0.5234156073655503,0.8520775211013093,0.5680647467311558,0.8229838658936564,65.0,58.0,68.0,37.0,70.0,62.0,39.0,58.0,,53.0,62.142857142857146,60.92857142857143,59.93333333333333,,12.307566391297277,13.97505627187948,13.43934864322014,36.0,72.0,35.0,90.0,59.4375,13.23226140670913,35.0,90.0,-29.0,-1.0,-22.0,-44.61538461538461,-2.7027027027026973,31
2020-02-02,79,269.84772727272724,77.36363636363636,2020,2,2,6,33,5,1,1,0,0,0,0,0,0,Sunday,February,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,0.5380051715382996,0.8429415373547828,0.5680647467311558,0.8229838658936564,36.0,65.0,58.0,68.0,53.0,67.0,35.0,90.0,,60.0,63.714285714285715,62.785714285714285,59.56666666666667,,13.792682670100659,14.555879443497279,12.721644150229068,36.0,79.0,35.0,85.0,60.03030303030303,13.461716199292832,35.0,90.0,43.0,11.0,-11.0,119.44444444444446,16.176470588235304,32
2020-02-03,50,103.13382352941176,7.4005882352941175,2020,2,3,0,34,6,1,0,0,0,0,0,0,0,Monday,February,0.0,1.0,0.49999999999999994,0.8660254037844387,0.5524353131676196,0.8335557718385699,0.6631226582407952,0.7485107481711011,79.0,36.0,65.0,68.0,49.0,53.0,46.0,39.0,,55.0,61.142857142857146,62.857142857142854,59.93333333333333,,14.519281105120998,14.485308965437227,12.258518033099111,36.0,79.0,35.0,85.0,59.73529411764706,13.367325209038896,35.0,90.0,-29.0,-18.0,11.0,-36.70886075949367,-26.470588235294112,33
2020-02-04,60,124.92057142857144,33.14257142857143,2020,2,4,1,35,6,1,0,0,0,0,0,0,0,Tuesday,February,0.7818314824680297,0.6234898018587336,0.49999999999999994,0.8660254037844387,0.5667017562911176,0.8239230057575542,0.6631226582407952,0.7485107481711011,50.0,79.0,36.0,72.0,65.0,62.0,50.0,35.0,,63.0,59.42857142857143,62.5,60.766666666666666,,13.709572602834152,14.490049636268978,11.318837924187404,36.0,79.0,36.0,85.0,59.74285714285714,13.16935582225301,35.0,90.0,10.0,-12.0,25.0,19.999999999999996,-16.666666666666664,34
2020-02-05,40,151.16086956521738,18.141739130434782,2020,2,5,2,36,6,1,0,0,0,0,0,0,0,Wednesday,February,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,0.5808002734538009,0.8140460935082178,0.6631226582407952,0.7485107481711011,60.0,50.0,79.0,68.0,75.0,52.0,67.0,46.0,,50.0,55.42857142857143,60.0,60.56666666666667,,14.830791649550632,15.170822197687452,11.637286487047106,36.0,79.0,36.0,85.0,59.19444444444444,13.390443168691926,35.0,90.0,-20.0,-28.0,-6.0,-33.333333333333336,-41.17647058823529,35
2020-02-06,66,195.45027777777779,11.850277777777778,2020,2,6,3,37,6,1,0,0,0,0,0,0,0,Thursday,February,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0.5947266869607634,0.8039279618328213,0.6631226582407952,0.7485107481711011,40.0,60.0,50.0,58.0,85.0,67.0,56.0,50.0,,55.333333333333336,56.57142857142857,58.642857142857146,61.1,,15.360741549560059,13.522671236210599,11.502173707608488,36.0,79.0,36.0,85.0,59.37837837837838,13.25047452263786,35.0,90.0,26.0,8.0,16.0,64.99999999999999,13.793103448275868,36
2020-02-07,91,99.68765957446809,22.219361702127664,2020,2,7,4,38,6,1,0,0,0,0,0,0,0,Friday,February,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,0.6084768701151261,0.7935716089521474,0.6631226582407952,0.7485107481711011,66.0,40.0,60.0,65.0,54.0,64.0,65.0,67.0,,65.66666666666667,60.285714285714285,61.285714285714285,61.9,,20.13880405017707,15.944271078345993,12.699036075284583,36.0,91.0,36.0,91.0,60.21052631578947,14.040785946156122,35.0,91.0,25.0,26.0,24.0,37.87878787878789,39.99999999999999,37
2020-02-08,73,98.86648648648648,49.07405405405405,2020,2,8,5,39,6,1,1,0,0,0,0,0,0,Saturday,February,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,0.6220467484408675,0.7829801036770629,0.6631226582407952,0.7485107481711011,91.0,66.0,40.0,36.0,37.0,70.0,62.0,56.0,,76.66666666666667,65.57142857142857,63.857142857142854,62.46666666666667,,17.367183065167694,14.570027943889288,12.805530414449933,40.0,91.0,36.0,91.0,60.53846153846154,14.005348891436093,35.0,91.0,-18.0,37.0,17.0,-19.780219780219777,102.77777777777777,38
2020-02-09,70,171.5511627906977,9.571627906976746,2020,2,9,6,40,6,1,1,0,0,0,0,0,0,Sunday,February,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,0.6354323008901774,0.7721565844991642,0.6631226582407952,0.7485107481711011,73.0,91.0,66.0,79.0,68.0,53.0,67.0,65.0,,78.0,64.28571428571429,64.0,62.63333333333333,,16.519829354589646,14.623479539636053,12.87200472914481,40.0,91.0,36.0,91.0,60.775,13.90533470770601,35.0,91.0,-3.0,-9.0,5.0,-4.109589041095896,-11.392405063291145,39
2020-02-10,67,179.32666666666668,5.913333333333334,2020,2,10,0,41,7,1,0,0,0,0,0,0,0,Monday,February,0.0,1.0,0.49999999999999994,0.8660254037844387,0.6486295610349814,0.7611042586607747,0.748510748171101,0.6631226582407953,70.0,73.0,91.0,50.0,68.0,49.0,53.0,62.0,,70.0,66.71428571428571,63.92857142857143,62.8,,15.272134599920705,14.604868975865488,12.89586942690806,40.0,91.0,36.0,91.0,60.926829268292686,13.764792486453327,35.0,91.0,-3.0,17.0,5.0,-4.285714285714281,34.00000000000001,40
2020-02-11,47,123.376,14.953,2020,2,11,1,42,7,1,0,0,0,0,0,0,0,Tuesday,February,0.7818314824680297,0.6234898018587336,0.49999999999999994,0.8660254037844387,0.6616346182422783,0.7498264012045686,0.748510748171101,0.6631226582407953,67.0,70.0,73.0,60.0,72.0,65.0,62.0,67.0,,61.333333333333336,64.85714285714286,62.142857142857146,62.13333333333333,,16.92560753639852,15.063236667499424,13.184979262817196,40.0,91.0,36.0,91.0,60.595238095238095,13.764676466761248,35.0,91.0,-20.0,-13.0,-20.0,-29.850746268656714,-21.666666666666668,41
2020-02-12,70,242.13555555555558,103.30111111111111,2020,2,12,2,43,7,1,0,0,0,0,0,0,0,Wednesday,February,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,0.6744436188329455,0.7383263540031065,0.748510748171101,0.6631226582407953,47.0,67.0,70.0,40.0,68.0,75.0,52.0,53.0,,61.333333333333336,69.14285714285714,62.285714285714285,62.7,,12.902565267271097,15.132382858922494,13.144160890571955,47.0,91.0,36.0,91.0,60.81395348837209,13.675239727947469,35.0,91.0,23.0,30.0,17.0,48.93617021276595,75.0,42
2020-02-13,77,163.26076923076923,57.968717948717945,2020,2,13,3,44,7,1,0,0,0,0,0,0,0,Thursday,February,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0.6870527672236669,0.7266075247685656,0.748510748171101,0.6631226582407953,70.0,47.0,67.0,66.0,58.0,85.0,67.0,62.0,,64.66666666666667,70.71428571428571,63.642857142857146,63.2,,13.1239512052619,15.564294161549798,13.399433853197188,47.0,91.0,36.0,91.0,61.18181818181818,13.733802683605873,35.0,91.0,7.0,11.0,15.0,10.000000000000009,16.666666666666675,43
2020-02-14,102,162.135,13.6394,2020,2,14,4,45,7,1,0,0,0,0,0,0,0,Friday,February,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,0.6994583270516471,0.7146733860429609,0.748510748171101,0.6631226582407953,77.0,70.0,47.0,91.0,65.0,54.0,64.0,52.0,,83.0,72.28571428571429,66.28571428571429,64.86666666666666,,16.245145795121754,18.648277179360086,14.97522858805059,47.0,102.0,36.0,102.0,62.08888888888889,14.87802256872719,35.0,102.0,25.0,11.0,50.0,32.467532467532465,12.08791208791209,44
2020-02-15,50,167.38575757575757,24.643636363636364,2020,2,15,5,46,7,1,1,0,0,0,0,0,0,Saturday,February,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,0.7116566222817746,0.7025274741691571,0.748510748171101,0.6631226582407953,102.0,77.0,70.0,73.0,36.0,37.0,70.0,67.0,,76.33333333333333,69.0,67.28571428571429,64.3,,18.275666882497063,17.21997306988234,15.211497466469687,47.0,102.0,36.0,102.0,61.82608695652174,14.819363230923532,35.0,102.0,-52.0,-23.0,-17.0,-50.98039215686274,-31.506849315068497,45
2020-02-16,56,136.86428571428573,19.554,2020,2,16,6,47,7,1,1,0,0,0,0,0,0,Sunday,February,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,0.7236440382959124,0.6901733882429719,0.748510748171101,0.6631226582407953,50.0,102.0,77.0,70.0,79.0,68.0,53.0,64.0,,69.33333333333333,67.0,65.64285714285714,64.03333333333333,,18.90326250501043,17.113229892765357,15.286873642021327,47.0,102.0,36.0,102.0,61.702127659574465,14.682013387604016,35.0,102.0,6.0,-14.0,-8.0,12.00000000000001,-19.999999999999996,46
2020-02-17,46,243.9742857142857,59.628214285714286,2020,2,17,0,48,8,1,0,0,0,0,0,0,0,Monday,February,0.0,1.0,0.49999999999999994,0.8660254037844387,0.7354170229639855,0.677614789046689,0.8229838658936564,0.5680647467311559,56.0,50.0,102.0,67.0,50.0,68.0,49.0,70.0,,50.666666666666664,64.0,65.35714285714286,63.233333333333334,,20.502032419575702,17.425035670892285,15.588862809010825,46.0,102.0,36.0,102.0,61.375,14.70073814907468,35.0,102.0,-10.0,-21.0,-24.0,-17.85714285714286,-31.343283582089555,47
2020-02-18,71,244.2475,37.05583333333333,2020,2,18,1,49,8,1,0,0,0,0,0,0,0,Tuesday,February,0.7818314824680297,0.6234898018587336,0.49999999999999994,0.8660254037844387,0.7469720876965552,0.6648553979642865,0.8229838658936564,0.5680647467311559,46.0,56.0,50.0,47.0,60.0,72.0,65.0,53.0,,57.666666666666664,67.42857142857143,66.14285714285714,63.833333333333336,,19.14729870292537,17.412891523488902,15.527691245072424,46.0,102.0,36.0,102.0,61.57142857142857,14.611639196202459,35.0,102.0,25.0,24.0,18.0,54.347826086956516,51.06382978723405,48
2020-02-19,71,113.80027027027026,46.07378378378378,2020,2,19,2,50,8,1,0,0,0,0,0,0,0,Wednesday,February,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,0.7583058084785624,0.6518989958787126,0.8229838658936564,0.5680647467311559,71.0,46.0,56.0,70.0,40.0,68.0,75.0,49.0,,62.666666666666664,67.57142857142857,68.35714285714286,64.56666666666666,,19.173394264424008,15.721651620307906,15.321122074090896,46.0,102.0,36.0,102.0,61.76,14.52311317612483,35.0,102.0,0.0,1.0,22.0,0.0,1.4285714285714235,49
2020-02-20,77,243.07447368421052,55.33947368421053,2020,2,20,3,51,8,1,0,0,0,0,0,0,0,Thursday,February,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0.7694148268839378,0.6387494220515272,0.8229838658936564,0.5680647467311559,71.0,71.0,46.0,77.0,66.0,58.0,85.0,65.0,,73.0,67.57142857142857,69.14285714285714,64.96666666666667,,19.173394264424008,15.868968959077852,15.488557140639358,46.0,102.0,36.0,102.0,62.05882352941177,14.534664447046424,35.0,102.0,6.0,0.0,12.0,8.450704225352123,0.0,50
